Objects
100
,,Global Angle (Quaternion) backpack:backpack2,,,,,,,Global Angle (Quaternion) head:headPattern,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm
1,0,-0.324374,-0.219282,0.802936,-0.449433,162.192,-2885,177.582,0.0987929,0.771002,-0.601795,0.183406,134.156,-2977.94,221.894
2,0,-0.327527,-0.206846,0.798261,-0.461216,161.679,-2884.48,177.28,0.082318,0.774005,-0.610518,0.146313,134.616,-2977.7,223.333
3,0,-0.326715,-0.203973,0.796625,-0.465876,161.527,-2884.24,177.261,0.0829311,0.77801,-0.605793,0.144354,134.819,-2977.83,224.451
4,0,-0.32423,-0.201201,0.78933,-0.480989,161.395,-2884.34,177.234,0.390451,-0.535128,-0.345201,0.664848,135.281,-2957.65,226.087
5,0,-0.325488,-0.203733,0.787147,-0.482649,161.488,-2884.37,177.138,0.395344,-0.532278,-0.347222,0.663189,135.246,-2958.08,226.526
6,0,-0.324747,-0.203812,0.785821,-0.485268,161.309,-2884.22,177.091,0.388514,-0.536479,-0.347312,0.663794,135.185,-2958.16,226.776
7,0,-0.323334,-0.212907,0.788006,-0.47872,161.243,-2884.25,177.384,0.387648,-0.545235,-0.34227,0.659772,135.151,-2957.87,226.656
8,0,-0.321953,-0.208138,0.78671,-0.483852,161.112,-2883.94,177.498,0.386825,-0.547697,-0.339297,0.659751,135.007,-2957.77,226.578
9,0,-0.321662,-0.208523,0.782157,-0.491204,160.931,-2884.13,177.458,0.38625,-0.548138,-0.338279,0.660245,134.984,-2957.67,226.546
10,0,-0.324889,-0.207885,0.780102,-0.492618,160.715,-2884.07,177.302,0.387138,-0.546377,-0.337495,0.661584,134.971,-2957.58,226.497
11,0,-0.323909,-0.211468,0.781677,-0.48923,160.585,-2884.07,177.362,0.385035,-0.544796,-0.329946,0.667893,134.878,-2957.67,226.576
12,0,-0.323049,-0.209569,0.783185,-0.488203,160.43,-2883.92,177.284,0.385545,-0.545822,-0.327612,0.66791,134.786,-2957.66,226.529
13,0,-0.323228,-0.212749,0.781805,-0.488919,160.212,-2883.9,177.276,0.385456,-0.541289,-0.330434,0.670256,134.747,-2957.5,226.449
14,0,-0.322906,-0.213466,0.781814,-0.488805,159.982,-2883.86,177.29,0.390173,-0.541691,-0.325294,0.669716,134.684,-2957.49,226.424
15,0,-0.322667,-0.213179,0.781615,-0.489406,159.755,-2883.83,177.323,0.391209,-0.541412,-0.325856,0.669064,134.521,-2957.37,226.395
16,0,-0.321762,-0.21085,0.782722,-0.489242,159.648,-2883.76,177.337,0.390577,-0.541028,-0.324426,0.670437,134.52,-2957.11,226.413
17,0,-0.32211,-0.213227,0.781641,-0.489711,159.464,-2883.82,177.423,0.390784,-0.541409,-0.330727,0.666921,134.546,-2956.69,226.463
18,0,-0.321323,-0.214533,0.780915,-0.490815,159.512,-2883.92,177.394,0.391311,-0.540098,-0.334186,0.66595,134.466,-2956.57,226.449
